,average_vector_score,bm25_score,miss_word_num,sentence_len,hit_num,hit_ratio,label
0,0.9370239499549473,7.370899791755891,0.0,3.0,2.0,0.6666666666666666,1.0
1,0.7399854498422319,2.541435003874011,0.0,6.0,1.0,0.16666666666666666,0.0
2,1.0,24.27413049628382,0.0,4.0,4.0,1.0,1.0
3,0.8230252090220309,0.0,0.0,7.0,0.0,0.0,0.0
4,0.8442184885208222,18.425148479852727,1.0,9.0,4.0,0.4444444444444444,1.0
5,0.7053165624874201,4.387090085730784,1.0,9.0,1.0,0.1111111111111111,0.0
6,0.9076691683069787,19.570093129470308,0.0,4.0,3.0,0.75,1.0
7,0.7826214550126077,3.928029665772406,0.0,2.0,1.0,0.5,0.0
8,0.7805021261146491,3.0430564327494776,0.0,4.0,1.0,0.25,1.0
9,0.8005999262045944,4.406492698114963,0.0,15.0,3.0,0.2,0.0
10,0.942979147215852,10.062566163805084,0.0,3.0,2.0,0.6666666666666666,1.0
11,0.7681408195104813,0.0,0.0,5.0,0.0,0.0,0.0
12,1.0000000000000002,14.451492154664802,0.0,2.0,2.0,1.0,1.0
13,0.6685961764242132,0.0,0.0,3.0,0.0,0.0,0.0
14,0.9061066741571041,10.50726216103971,2.0,5.0,2.0,0.4,1.0
15,0.7906577059048644,2.3579732236113293,0.0,7.0,1.0,0.14285714285714285,0.0
16,0.9408908354105898,18.663372793738553,0.0,6.0,3.0,0.5,1.0
17,0.8570182373035222,6.059195017049884,0.0,3.0,1.0,0.3333333333333333,0.0
18,0.8440673217199316,12.11342674697699,0.0,5.0,2.0,0.4,1.0
19,0.59996908875383,0.0,0.0,6.0,0.0,0.0,0.0
20,0.8897815008787917,11.017306734368129,0.0,2.0,2.0,1.0,1.0
21,0.7517993765379826,0.0,0.0,10.0,0.0,0.0,0.0
22,0.9013538985016784,17.01401146812955,0.0,2.0,2.0,1.0,1.0
23,0.8017397414190751,0.0,1.0,18.0,0.0,0.0,0.0
24,0.9743042513482928,14.17373079785952,0.0,4.0,3.0,0.75,1.0
25,0.7909704524549698,2.069226438833895,1.0,6.0,1.0,0.16666666666666666,0.0
26,0.9265838439304777,13.860633046803857,1.0,4.0,2.0,0.5,1.0
27,0.7903278258236912,2.8464014003953313,0.0,6.0,1.0,0.16666666666666666,0.0
28,0.9107252244802422,6.3353409931336095,1.0,4.0,2.0,0.5,1.0
29,0.8254667694591836,3.0097871488526184,1.0,4.0,1.0,0.25,0.0
30,0.8967979604963039,16.060650753436438,2.0,9.0,3.0,0.3333333333333333,1.0
31,0.8373293888273464,5.536594737092014,0.0,5.0,1.0,0.2,0.0
32,0.8998097713173503,11.291897846467105,0.0,5.0,2.0,0.4,1.0
33,0.7526983989969886,2.9995571334844784,1.0,9.0,1.0,0.1111111111111111,0.0
34,0.9184063007450003,8.66804992144655,0.0,6.0,2.0,0.3333333333333333,1.0
35,0.8695548686165749,4.826203893859414,0.0,3.0,1.0,0.3333333333333333,0.0
36,0.9516556704669669,17.378665516018863,0.0,7.0,5.0,0.7142857142857143,1.0
37,0.820374276395851,5.996276189961076,1.0,14.0,2.0,0.14285714285714285,0.0
38,0.9493615245203754,12.960564219664967,0.0,4.0,3.0,0.75,1.0
39,0.8106483047970146,0.0,0.0,5.0,0.0,0.0,0.0
